,AGE4,INCOME,D6,D8,D9C,D18,D26,MARITAL,EDUC4,RACETHNICITY,GENDER,HHSIZE,INCOME_recode,AGE4_recode,D6_recode,D8_recode,D9C_recode,D18_recode,D26_recode,MARITAL_recode,EDUC4_recode,RACETHNICITY_recode,GENDER_recode
844,60+,"$85,000 to $99,999",Very good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Never married,BA or above,"White, non-Hispanic",Male,1,13,4,4,6,2,1,2,1,4,1,2
845,60+,"$50,000 to $59,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,10,4,4,6,1,1,2,0,2,1,1
846,45-59,"$100,000 to $124,999",Excellent,Everyday,Never,Employed part-time,Small town,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,14,3,5,7,1,2,1,0,2,1,1
847,30-44,"$100,000 to $124,999",Excellent,Several times a week,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,4,14,2,5,6,2,4,2,0,4,1,1
848,30-44,"$25,000 to $29,999",Very good,Less than monthly,Never,Employed full-time,Urban and mostly residential,Married,Some college,"Black, non-Hispanic",Male,3,6,2,4,2,1,1,2,0,3,4,2
849,45-59,"$5,000 to $9,999",Good,Everyday,Never,Employed part-time,Urban and mostly residential,Married,No HS diploma,Hispanic,Female,5,2,3,3,7,1,2,2,0,1,2,1
850,60+,"$50,000 to $59,999",Very good,Several times a week,Never,Employed full-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Male,2,10,4,4,6,1,1,1,0,2,1,2
851,60+,"$175,000 to $199,999",Excellent,Several times a week,Never,Retired and not working at all,Small town,Married,Some college,"White, non-Hispanic",Male,3,17,4,5,6,1,3,1,0,3,1,2
852,45-59,"$60,000 to $74,999",Good,Everyday,Never,Unemployed and looking for work,Rural area,Married,HS graduate or equivalent,Hispanic,Female,5,11,3,3,7,1,4,1,0,2,2,1
853,60+,"$30,000 to $34,999",Very good,Everyday,Rarely,Retired and not working at all,Small town,Divorced,Some college,"White, non-Hispanic",Male,1,7,4,4,7,2,3,1,2,3,1,2
854,30-44,"$200,000 or more",Very good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,3,18,2,4,6,1,1,2,0,4,1,2
855,45-59,"$15,000 to $19,999",Poor,Several times a week,Never,Or are you not in the labor force for other reasons,"Suburban with a mix of offices, apartments and shops",Never married,No HS diploma,"White, non-Hispanic",Male,3,4,3,1,6,1,4,2,1,1,1,2
856,60+,"$85,000 to $99,999",Very good,Everyday,Never,Self-employed part-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,2,13,4,4,7,1,2,2,0,4,1,2
857,30-44,"$25,000 to $29,999",Good,Everyday,Rarely,Employed full-time,"Urban near mix of offices, apartments and shops",Divorced,BA or above,Hispanic,Female,3,6,2,3,7,2,1,2,2,4,2,1
858,60+,"$25,000 to $29,999",Very good,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Married,Some college,"Black, non-Hispanic",Female,2,6,4,4,6,1,3,2,0,3,4,1
859,18-29,"$25,000 to $29,999",Good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Female,3,6,1,3,6,2,1,2,1,3,1,1
860,30-44,"$100,000 to $124,999",Very good,Everyday,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"Asian, non-Hispanic",Female,2,14,2,4,7,3,1,2,1,4,5,1
861,60+,"$75,000 to $84,999",Very good,Everyday,Never,Employed full-time,Rural area,Married,HS graduate or equivalent,"Black, non-Hispanic",Male,2,12,4,4,7,1,1,1,0,2,4,2
862,45-59,"$5,000 to $9,999",Good,Once every 2 or 3 weeks,Often,Or are you not in the labor force for other reasons,"Suburban with a mix of offices, apartments and shops",Never married,HS graduate or equivalent,"2+, non-Hispanic",Male,1,2,3,3,4,4,4,2,1,2,3,2
863,30-44,"$100,000 to $124,999",Very good,Once a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,HS graduate or equivalent,Hispanic,Female,4,14,2,4,5,3,1,2,1,2,2,1
864,45-59,"$10,000 to $14,999",Good,Once a week,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Divorced,No HS diploma,"White, non-Hispanic",Male,2,3,3,3,5,2,4,2,2,1,1,2
865,45-59,"$75,000 to $84,999",Excellent,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Never married,BA or above,"Black, non-Hispanic",Female,2,12,3,5,6,2,1,2,1,4,4,1
866,30-44,"$75,000 to $84,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Married,BA or above,"Asian, non-Hispanic",Male,2,12,2,4,6,1,1,2,0,4,5,2
867,18-29,"$100,000 to $124,999",Very good,Several times a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"2+, non-Hispanic",Female,1,14,1,4,6,3,1,2,1,3,3,1
868,60+,"$60,000 to $74,999",Very good,Everyday,Rarely,Retired and not working at all,Small town,Married,Some college,"White, non-Hispanic",Female,2,11,4,4,7,2,3,1,0,3,1,1
869,30-44,"$60,000 to $74,999",Good,Never,Rarely,Employed full-time,Urban and mostly residential,Living with partner,Some college,Hispanic,Female,4,11,2,3,1,2,1,2,1,3,2,1
870,30-44,"$75,000 to $84,999",Very good,Everyday,Often,Self-employed part-time,Urban and mostly residential,Living with partner,BA or above,"2+, non-Hispanic",Female,2,12,2,4,7,4,2,2,1,4,3,1
871,60+,"$25,000 to $29,999",Fair,Everyday,Never,Or are you not in the labor force for other reasons,Suburban and mostly residential,Divorced,Some college,"Black, non-Hispanic",Female,1,6,4,2,7,1,4,2,2,3,4,1
872,30-44,"$85,000 to $99,999",Very good,Everyday,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,4,13,2,4,7,2,1,2,0,4,1,1
873,60+,"$30,000 to $34,999",Good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Never married,Some college,"Black, non-Hispanic",Male,1,7,4,3,6,2,1,2,1,3,4,2
874,60+,"$20,000 to $24,999",Fair,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Divorced,HS graduate or equivalent,Hispanic,Male,4,5,4,2,6,1,3,2,2,2,2,2
875,30-44,"$50,000 to $59,999",Very good,Several times a week,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Married,Some college,Hispanic,Female,5,10,2,4,6,1,1,2,0,3,2,1
876,30-44,"$20,000 to $24,999",Good,Several times a week,Sometimes,Unemployed and looking for work,Urban and mostly residential,Living with partner,Some college,"Black, non-Hispanic",Male,5,5,2,3,6,3,4,2,1,3,4,2
877,18-29,"$15,000 to $19,999",Fair,Never,Never,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Male,3,4,1,2,1,1,4,2,1,3,4,2
878,30-44,"$50,000 to $59,999",Very good,Several times a week,Rarely,Employed part-time,"Suburban with a mix of offices, apartments and shops",Living with partner,Some college,"White, non-Hispanic",Male,2,10,2,4,6,2,2,2,1,3,1,2
879,18-29,"$50,000 to $59,999",Good,Several times a week,Sometimes,Employed full-time,Suburban and mostly residential,Living with partner,BA or above,"White, non-Hispanic",Female,2,10,1,3,6,3,1,2,1,4,1,1
880,45-59,"$10,000 to $14,999",Good,Less than monthly,Never,Or are you not in the labor force for other reasons,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Male,2,3,3,3,2,1,4,1,0,2,1,2
881,18-29,"$50,000 to $59,999",Good,Several times a week,Never,Or are you not in the labor force for other reasons,Urban and mostly residential,Never married,HS graduate or equivalent,"Asian, non-Hispanic",Male,4,10,1,3,6,1,4,2,1,2,5,2
882,18-29,"$15,000 to $19,999",Very good,Everyday,Often,Employed full-time,Urban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,1,4,1,4,7,4,1,2,1,2,4,2
883,30-44,"$125,000 to $149,999",Excellent,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,6,15,2,5,6,2,1,2,0,4,1,2
884,45-59,"$150,000 to $174,999",Good,Everyday,Never,Employed full-time,Urban and mostly residential,Married,HS graduate or equivalent,Hispanic,Male,5,16,3,3,7,1,1,2,0,2,2,2
885,30-44,"$100,000 to $124,999",Excellent,Everyday,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"Black, non-Hispanic",Male,1,14,2,5,7,1,1,2,1,4,4,2
886,18-29,"$60,000 to $74,999",Very good,Everyday,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,Hispanic,Female,3,11,1,4,7,2,1,2,1,3,2,1
887,45-59,"$10,000 to $14,999",Good,Several times a week,Rarely,Retired and not working at all,Urban and mostly residential,Divorced,Some college,"Black, non-Hispanic",Male,1,3,3,3,6,2,3,2,2,3,4,2
888,30-44,"$125,000 to $149,999",Excellent,Everyday,Never,Employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,3,15,2,5,7,1,1,2,0,4,1,1
889,60+,"$25,000 to $29,999",Very good,Several times a week,Rarely,Employed full-time,"Urban near mix of offices, apartments and shops",Divorced,BA or above,"Black, non-Hispanic",Female,2,6,4,4,6,2,1,2,2,4,4,1
890,45-59,"$125,000 to $149,999",Excellent,Everyday,Never,Self-employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,4,15,3,5,7,1,1,2,0,4,1,1
891,18-29,"$30,000 to $34,999",Fair,Once a month,Often,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,HS graduate or equivalent,"White, non-Hispanic",Male,3,7,1,2,3,4,2,2,1,2,1,2
892,18-29,"$40,000 to $49,999",Very good,Once a week,Sometimes,Employed part-time,Urban and mostly residential,Never married,HS graduate or equivalent,Hispanic,Male,1,9,1,4,5,3,2,2,1,2,2,2
893,18-29,"Less than $5,000",Good,Once every 2 or 3 weeks,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,Hispanic,Female,6,1,1,3,4,3,1,2,1,3,2,1
894,30-44,"$85,000 to $99,999",Very good,Once every 2 or 3 weeks,Never,Employed full-time,Small town,Married,Some college,"White, non-Hispanic",Female,4,13,2,4,4,1,1,1,0,3,1,1
895,60+,"$60,000 to $74,999",Excellent,Several times a week,Never,Employed part-time,Small town,Married,Some college,Hispanic,Female,2,11,4,5,6,1,2,1,0,3,2,1
896,30-44,"$85,000 to $99,999",Good,Everyday,Rarely,Self-employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,5,13,2,3,7,2,1,2,0,4,1,1
897,30-44,"$150,000 to $174,999",Very good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,3,16,2,4,6,2,1,2,0,4,1,1
898,45-59,"$200,000 or more",Excellent,Several times a week,Rarely,Employed part-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,2,18,3,5,6,2,2,2,0,4,1,1
899,60+,"$60,000 to $74,999",Very good,Once a month,Rarely,Retired and not working at all,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,3,11,4,4,3,2,3,2,0,3,1,2
900,30-44,"$50,000 to $59,999",Fair,Several times a week,Never,Or are you not in the labor force for other reasons,"Urban near mix of offices, apartments and shops",Living with partner,No HS diploma,"White, non-Hispanic",Male,3,10,2,2,6,1,4,2,1,1,1,2
901,18-29,"$60,000 to $74,999",Excellent,Everyday,Often,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,Hispanic,Male,6,11,1,5,7,4,2,2,1,3,2,2
902,45-59,"$75,000 to $84,999",Poor,Everyday,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,3,12,3,1,7,3,1,2,0,4,1,2
903,45-59,"$10,000 to $14,999",Fair,Several times a week,Sometimes,Or are you not in the labor force for other reasons,Rural area,Divorced,Some college,"White, non-Hispanic",Female,1,3,3,2,6,3,4,1,2,3,1,1
904,18-29,"$20,000 to $24,999",Excellent,Several times a week,Often,Self-employed part-time,"Urban near mix of offices, apartments and shops",Living with partner,Some college,Hispanic,Female,4,5,1,5,6,4,2,2,1,3,2,1
905,18-29,"$10,000 to $14,999",Good,Everyday,Sometimes,Unemployed and looking for work,Urban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,5,3,1,3,7,3,4,2,1,2,4,2
906,60+,"$100,000 to $124,999",Excellent,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,"Black, non-Hispanic",Male,6,14,4,5,5,2,1,2,0,4,4,2
907,30-44,"$150,000 to $174,999",Very good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,2,16,2,4,5,2,1,2,0,3,1,2
908,30-44,"$100,000 to $124,999",Excellent,Everyday,Never,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,5,14,2,5,7,1,4,2,0,4,1,1
909,18-29,"$20,000 to $24,999",Excellent,Everyday,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,3,5,1,5,7,3,1,2,1,4,1,2
910,30-44,"$15,000 to $19,999",Excellent,Once a month,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Separated,Some college,Hispanic,Male,1,4,2,5,3,3,1,2,2,3,2,2
911,60+,"$50,000 to $59,999",Poor,Everyday,Never,Or are you not in the labor force for other reasons,Small town,Married,BA or above,"White, non-Hispanic",Female,2,10,4,1,7,1,4,1,0,4,1,1
912,30-44,"$200,000 or more",Excellent,Everyday,Rarely,Self-employed full-time,Urban and mostly residential,Divorced,Some college,"White, non-Hispanic",Female,1,18,2,5,7,2,1,2,2,3,1,1
913,30-44,"$60,000 to $74,999",Excellent,Once a week,Sometimes,Unemployed and looking for work,Rural area,Never married,Some college,"White, non-Hispanic",Female,3,11,2,5,5,3,4,1,1,3,1,1
914,18-29,"$30,000 to $34,999",Very good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Never married,BA or above,"Asian, non-Hispanic",Male,4,7,1,4,5,2,1,2,1,4,5,2
915,18-29,"$75,000 to $84,999",Poor,Several times a week,Often,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,2,12,1,1,6,4,4,2,0,3,1,1
916,45-59,"$15,000 to $19,999",Good,Several times a week,Never,Unemployed and looking for work,Urban and mostly residential,Married,Some college,Hispanic,Female,4,4,3,3,6,1,4,2,0,3,2,1
917,18-29,"$125,000 to $149,999",Very good,Everyday,Sometimes,Employed full-time,Suburban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,4,15,1,4,7,3,1,2,1,3,1,2
918,30-44,"$20,000 to $24,999",Good,Once a week,Sometimes,Unemployed and looking for work,Urban and mostly residential,Married,HS graduate or equivalent,Hispanic,Female,6,5,2,3,5,3,4,2,0,2,2,1
919,30-44,"$15,000 to $19,999",Good,Everyday,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Living with partner,HS graduate or equivalent,Hispanic,Male,2,4,2,3,7,1,1,2,1,2,2,2
920,45-59,"$35,000 to $39,999",Very good,Everyday,Rarely,Employed full-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Male,5,8,3,4,7,2,1,1,0,2,1,2
921,60+,"$85,000 to $99,999",Good,Once every 2 or 3 weeks,Rarely,Employed part-time,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Female,2,13,4,3,4,2,2,2,0,3,1,1
922,30-44,"$35,000 to $39,999",Excellent,Everyday,Rarely,Employed full-time,"Urban near mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,5,8,2,5,7,2,1,2,0,3,1,2
923,18-29,"$25,000 to $29,999",Very good,Once every 2 or 3 weeks,Sometimes,Unemployed and looking for work,Small town,Never married,HS graduate or equivalent,"White, non-Hispanic",Male,2,6,1,4,4,3,4,1,1,2,1,2
924,18-29,"$25,000 to $29,999",Very good,Never,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Never married,Some college,Hispanic,Female,6,6,1,4,1,2,4,2,1,3,2,1
925,60+,"$35,000 to $39,999",Fair,Everyday,Rarely,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,8,4,2,7,2,3,2,1,4,1,2
926,30-44,"$85,000 to $99,999",Excellent,Everyday,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Living with partner,BA or above,"White, non-Hispanic",Female,6,13,2,5,7,1,1,2,1,4,1,1
927,18-29,"$60,000 to $74,999",Very good,Everyday,Never,Employed part-time,Suburban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Female,4,11,1,4,7,1,2,2,1,2,4,1
928,18-29,"$25,000 to $29,999",Good,Several times a week,Sometimes,Or are you not in the labor force for other reasons,Suburban and mostly residential,Never married,Some college,Hispanic,Female,5,6,1,3,6,3,4,2,1,3,2,1
929,60+,"Less than $5,000",Good,Everyday,Sometimes,Retired and not working at all,"Urban near mix of offices, apartments and shops",Divorced,HS graduate or equivalent,Hispanic,Female,5,1,4,3,7,3,3,2,2,2,2,1
930,18-29,"$25,000 to $29,999",Fair,Everyday,Often,Self-employed full-time,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,4,6,1,2,7,4,1,2,1,2,4,2
931,30-44,"Less than $5,000",Good,Everyday,Sometimes,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,HS graduate or equivalent,"Black, non-Hispanic",Female,2,1,2,3,7,3,4,2,0,2,4,1
932,30-44,"$75,000 to $84,999",Very good,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,4,12,2,4,6,1,1,2,0,3,1,2
933,45-59,"$40,000 to $49,999",Good,Several times a week,Sometimes,Employed full-time,Urban and mostly residential,Divorced,Some college,Hispanic,Female,3,9,3,3,6,3,1,2,2,3,2,1
934,18-29,"Less than $5,000",Very good,Everyday,Often,Unemployed and looking for work,Urban and mostly residential,Never married,HS graduate or equivalent,Hispanic,Male,5,1,1,4,7,4,4,2,1,2,2,2
935,18-29,"$85,000 to $99,999",Very good,Once a week,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Never married,Some college,"Asian, non-Hispanic",Male,5,13,1,4,5,2,4,2,1,3,5,2
936,30-44,"$50,000 to $59,999",Excellent,Everyday,Never,Or are you not in the labor force for other reasons,Suburban and mostly residential,Living with partner,Some college,"White, non-Hispanic",Female,2,10,2,5,7,1,4,2,1,3,1,1
937,60+,"$30,000 to $34,999",Poor,Once a month,Sometimes,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Married,No HS diploma,"White, non-Hispanic",Female,2,7,4,1,3,3,3,2,0,1,1,1
938,60+,"$85,000 to $99,999",Very good,Everyday,Rarely,Retired and not working at all,Rural area,Married,Some college,"White, non-Hispanic",Female,2,13,4,4,7,2,3,1,0,3,1,1
939,18-29,"$40,000 to $49,999",Very good,Less than monthly,Often,Employed part-time,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,"White, non-Hispanic",Male,3,9,1,4,2,4,2,2,1,2,1,2
940,30-44,"$50,000 to $59,999",Good,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Separated,BA or above,"White, non-Hispanic",Male,1,10,2,3,6,2,1,2,2,4,1,2
941,60+,"$20,000 to $24,999",Good,Everyday,Never,Self-employed part-time,Urban and mostly residential,Separated,Some college,"Black, non-Hispanic",Male,1,5,4,3,7,1,2,2,2,3,4,2
942,60+,"$85,000 to $99,999",Very good,Everyday,Rarely,Employed full-time,Small town,Divorced,BA or above,"White, non-Hispanic",Male,1,13,4,4,7,2,1,1,2,4,1,2
943,18-29,"$10,000 to $14,999",Good,Several times a week,Sometimes,Or are you not in the labor force for other reasons,Small town,Never married,HS graduate or equivalent,Hispanic,Female,4,3,1,3,6,3,4,1,1,2,2,1
944,45-59,"$100,000 to $124,999",Very good,Several times a week,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,4,14,3,4,6,2,1,2,0,4,1,2
945,18-29,"$20,000 to $24,999",Very good,Everyday,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,Hispanic,Female,3,5,1,4,7,2,1,2,1,3,2,1
946,30-44,"$50,000 to $59,999",Excellent,Once a month,Sometimes,Employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,5,10,2,5,3,3,1,2,0,4,1,2
947,30-44,"$30,000 to $34,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Married,Some college,"White, non-Hispanic",Male,6,7,2,4,6,1,1,2,0,3,1,2
948,30-44,"Less than $5,000",Good,Once every 2 or 3 weeks,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,3,1,2,3,4,3,1,2,1,4,1,2
949,18-29,"$60,000 to $74,999",Very good,Several times a week,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,Hispanic,Male,2,11,1,4,6,3,1,2,1,3,2,2
950,45-59,"$85,000 to $99,999",Excellent,Everyday,Never,Employed part-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,3,13,3,5,7,1,2,2,0,4,1,1
951,45-59,"$40,000 to $49,999",Very good,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Divorced,BA or above,"Black, non-Hispanic",Male,2,9,3,4,6,2,1,2,2,4,4,2
952,30-44,"$30,000 to $34,999",Very good,Everyday,Never,Employed full-time,Suburban and mostly residential,Divorced,HS graduate or equivalent,"White, non-Hispanic",Female,3,7,2,4,7,1,1,2,2,2,1,1
953,60+,"$175,000 to $199,999",Excellent,Everyday,Never,Retired and not working at all,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,2,17,4,5,7,1,3,2,0,4,1,1
954,18-29,"$125,000 to $149,999",Good,Several times a week,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,Hispanic,Female,4,15,1,3,6,3,1,2,1,3,2,1
955,45-59,"$85,000 to $99,999",Very good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,2,13,3,4,6,1,1,2,0,4,1,1
956,45-59,"$40,000 to $49,999",Good,Several times a week,Sometimes,Self-employed full-time,Urban and mostly residential,Married,Some college,Hispanic,Male,6,9,3,3,6,3,1,2,0,3,2,2
957,45-59,"Less than $5,000",Good,Several times a week,Never,Retired and not working at all,Rural area,Married,Some college,"White, non-Hispanic",Male,4,1,3,3,6,1,3,1,0,3,1,2
958,30-44,"$35,000 to $39,999",Fair,Everyday,Often,Employed full-time,Small town,Never married,BA or above,"White, non-Hispanic",Female,1,8,2,2,7,4,1,1,1,4,1,1
959,45-59,"$40,000 to $49,999",Good,Everyday,Never,Retired and not working at all,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,4,9,3,3,7,1,3,2,0,4,1,1
960,30-44,"$60,000 to $74,999",Very good,Several times a week,Sometimes,Self-employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,2,11,2,4,6,3,1,2,0,4,1,1
961,45-59,"$150,000 to $174,999",Excellent,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,2,16,3,5,6,1,1,2,0,4,1,2
962,45-59,"$60,000 to $74,999",Good,Everyday,Never,Employed full-time,Rural area,Married,Some college,"Black, non-Hispanic",Male,2,11,3,3,7,1,1,1,0,3,4,2
963,45-59,"$40,000 to $49,999",Fair,Everyday,Never,Retired and not working at all,Urban and mostly residential,Divorced,HS graduate or equivalent,"Black, non-Hispanic",Female,2,9,3,2,7,1,3,2,2,2,4,1
964,18-29,"$150,000 to $174,999",Very good,Once every 2 or 3 weeks,Sometimes,Employed full-time,Rural area,Never married,Some college,Hispanic,Female,3,16,1,4,4,3,1,1,1,3,2,1
965,45-59,"$50,000 to $59,999",Good,Once a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"Black, non-Hispanic",Female,3,10,3,3,5,1,1,2,2,4,4,1
966,18-29,"$85,000 to $99,999",Very good,Everyday,Sometimes,Employed full-time,Suburban and mostly residential,Never married,BA or above,"Asian, non-Hispanic",Female,4,13,1,4,7,3,1,2,1,4,5,1
967,45-59,"$40,000 to $49,999",Good,Everyday,Rarely,Employed full-time,Urban and mostly residential,Divorced,HS graduate or equivalent,Hispanic,Male,2,9,3,3,7,2,1,2,2,2,2,2
968,30-44,"$25,000 to $29,999",Good,Everyday,Sometimes,Employed full-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Male,4,6,2,3,7,3,1,1,0,2,1,2
969,30-44,"$25,000 to $29,999",Good,Once every 2 or 3 weeks,Rarely,Unemployed and looking for work,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,5,6,2,3,4,2,4,2,0,4,1,1
970,30-44,"$85,000 to $99,999",Good,Once every 2 or 3 weeks,Sometimes,Employed full-time,Urban and mostly residential,Living with partner,BA or above,"Black, non-Hispanic",Female,2,13,2,3,4,3,1,2,1,4,4,1
971,30-44,"$60,000 to $74,999",Excellent,Everyday,Rarely,Self-employed full-time,"Urban near mix of offices, apartments and shops",Divorced,BA or above,"2+, non-Hispanic",Male,1,11,2,5,7,2,1,2,2,4,3,2
972,60+,"$25,000 to $29,999",Good,Several times a week,Often,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Widowed,Some college,"White, non-Hispanic",Female,1,6,4,3,6,4,3,2,2,3,1,1
973,60+,"$10,000 to $14,999",Poor,Once a week,Rarely,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Separated,Some college,"Black, non-Hispanic",Male,1,3,4,1,5,2,3,2,2,3,4,2
974,30-44,"$5,000 to $9,999",Excellent,Once a week,Rarely,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Divorced,No HS diploma,Hispanic,Female,6,2,2,5,5,2,4,2,2,1,2,1
975,45-59,"$60,000 to $74,999",Good,Everyday,Often,Self-employed part-time,"Suburban with a mix of offices, apartments and shops",Married,Some college,Hispanic,Female,4,11,3,3,7,4,2,2,0,3,2,1
976,30-44,"$125,000 to $149,999",Very good,Everyday,Rarely,Employed part-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,4,15,2,4,7,2,2,2,0,4,1,1
977,18-29,"$25,000 to $29,999",Excellent,Several times a week,Never,Or are you not in the labor force for other reasons,"Urban near mix of offices, apartments and shops",Married,No HS diploma,Hispanic,Female,4,6,1,5,6,1,4,2,0,1,2,1
978,18-29,"$60,000 to $74,999",Excellent,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Never married,BA or above,"Black, non-Hispanic",Female,3,11,1,5,6,2,1,2,1,4,4,1
979,45-59,"$60,000 to $74,999",Very good,Everyday,Sometimes,Employed full-time,Suburban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,1,11,3,4,7,3,1,2,1,3,1,2
980,18-29,"$50,000 to $59,999",Good,Several times a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"2+, non-Hispanic",Female,5,10,1,3,6,3,1,2,1,4,3,1
